               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.038407,            0.036593,           0.0027731,              0.8858,             0.86512,             0.91407,             0.59414,            0.030844,            0.017357,          0.00048833,             0.00516,             0.00516,             0.00516
                  90,            0.038788,            0.036946,           0.0027218,             0.88589,             0.86033,             0.91407,             0.59404,            0.030992,            0.017341,          0.00047608,            0.005105,            0.005105,            0.005105
                  91,              0.0386,            0.036686,           0.0028538,             0.88825,             0.85583,             0.91359,             0.59018,            0.031121,            0.017366,           0.0004823,             0.00505,             0.00505,             0.00505
                  92,            0.038219,            0.036607,           0.0025785,             0.88668,             0.86974,             0.91906,             0.59797,            0.030648,            0.017184,          0.00046958,            0.004995,            0.004995,            0.004995
                  93,             0.03823,            0.036306,           0.0026141,             0.88845,             0.86514,               0.918,             0.59672,            0.030769,            0.017152,          0.00047365,             0.00494,             0.00494,             0.00494
                  94,            0.038416,            0.036697,           0.0026473,             0.88671,             0.86571,             0.91843,             0.59539,            0.030971,             0.01724,          0.00047852,            0.004885,            0.004885,            0.004885
                  95,            0.037882,            0.036264,           0.0026183,             0.89507,             0.86849,             0.92077,             0.60306,            0.030416,            0.017011,          0.00046105,             0.00483,             0.00483,             0.00483
                  96,               0.038,            0.036599,           0.0025892,             0.88385,             0.86799,             0.91783,             0.59866,             0.03056,            0.017165,          0.00045987,            0.004775,            0.004775,            0.004775
                  97,            0.037762,            0.036656,           0.0025775,              0.8891,             0.86465,             0.91782,             0.59882,            0.030464,             0.01707,          0.00046327,             0.00472,             0.00472,             0.00472
                  98,              0.0378,             0.03621,           0.0025061,             0.89548,             0.86337,             0.92029,             0.60241,            0.030251,            0.016972,          0.00045525,            0.004665,            0.004665,            0.004665
                  99,            0.037657,            0.036317,           0.0025044,             0.89236,             0.86388,             0.92014,              0.6023,            0.030213,            0.017009,          0.00044926,             0.00461,             0.00461,             0.00461
                 100,            0.037502,            0.036558,           0.0025674,              0.8901,             0.87246,             0.92164,             0.60737,            0.029967,            0.016852,           0.0004373,            0.004555,            0.004555,            0.004555
                 101,            0.037852,            0.036168,            0.002516,             0.89084,             0.87311,             0.92288,             0.60739,            0.030032,            0.016784,          0.00043567,              0.0045,              0.0045,              0.0045
                 102,            0.037596,            0.035808,           0.0026423,             0.89251,             0.87424,             0.92407,             0.60956,            0.029972,            0.016732,          0.00043226,            0.004445,            0.004445,            0.004445
                 103,            0.037409,            0.035593,           0.0025823,             0.88585,              0.8804,             0.92459,             0.61017,             0.02996,             0.01673,          0.00042778,             0.00439,             0.00439,             0.00439
                 104,            0.037631,             0.03578,           0.0026317,               0.892,               0.876,             0.92501,             0.61094,            0.029925,            0.016693,          0.00043037,            0.004335,            0.004335,            0.004335
                 105,            0.037431,            0.036224,           0.0025525,              0.8964,             0.87755,               0.926,             0.61377,            0.029919,            0.016684,          0.00042985,             0.00428,             0.00428,             0.00428
                 106,            0.037406,            0.035533,           0.0024814,             0.89687,             0.87902,             0.92677,             0.61563,            0.029757,            0.016613,          0.00042934,            0.004225,            0.004225,            0.004225
                 107,            0.037333,            0.034919,           0.0024424,               0.898,             0.87813,             0.92641,             0.61549,            0.029691,            0.016593,          0.00042673,             0.00417,             0.00417,             0.00417
                 108,             0.03712,            0.035259,           0.0024134,             0.89479,             0.87929,             0.92636,             0.61646,            0.029687,            0.016598,          0.00042436,            0.004115,            0.004115,            0.004115
                 109,            0.036931,            0.035245,           0.0024409,             0.89856,             0.87799,             0.92676,             0.61873,            0.029566,            0.016586,          0.00042349,             0.00406,             0.00406,             0.00406
                 110,            0.037208,            0.035419,           0.0024217,             0.89826,             0.87869,             0.92753,             0.62163,            0.029422,            0.016496,          0.00042414,            0.004005,            0.004005,            0.004005
                 111,            0.036798,            0.035222,           0.0024739,             0.90138,             0.87751,             0.92794,             0.62257,            0.029439,             0.01646,          0.00042815,             0.00395,             0.00395,             0.00395
                 112,            0.037139,            0.035245,           0.0023868,             0.90447,             0.87584,             0.92816,             0.62492,            0.029302,              0.0164,          0.00042241,            0.003895,            0.003895,            0.003895
                 113,             0.03676,            0.035691,            0.002349,             0.90362,             0.87722,             0.92845,             0.62541,            0.029251,            0.016382,            0.000414,             0.00384,             0.00384,             0.00384
                 114,            0.036699,            0.035075,            0.002261,             0.90521,             0.87617,             0.92913,             0.62663,            0.029162,            0.016303,          0.00041009,            0.003785,            0.003785,            0.003785
                 115,            0.036686,            0.035153,           0.0024002,             0.90448,             0.87782,             0.92958,             0.62778,            0.029094,            0.016266,          0.00040884,             0.00373,             0.00373,             0.00373
                 116,            0.036473,            0.034592,           0.0022144,             0.90671,             0.87882,             0.92986,              0.6299,            0.029006,            0.016217,          0.00040563,            0.003675,            0.003675,            0.003675
                 117,            0.036699,            0.034829,           0.0023842,             0.90462,             0.87792,             0.92978,             0.62877,            0.029083,            0.016205,          0.00040311,             0.00362,             0.00362,             0.00362
                 118,            0.036319,            0.034953,           0.0023684,             0.90459,             0.87818,             0.93049,             0.63097,            0.028983,            0.016169,          0.00040217,            0.003565,            0.003565,            0.003565
                 119,            0.036366,            0.034726,           0.0022969,             0.90513,             0.87956,             0.93088,             0.63209,            0.028876,            0.016104,          0.00039687,             0.00351,             0.00351,             0.00351
                 120,            0.036367,            0.034909,           0.0023268,             0.90496,             0.88025,             0.93101,              0.6327,            0.028846,            0.016082,          0.00039672,            0.003455,            0.003455,            0.003455
                 121,             0.03596,            0.034284,           0.0023463,               0.906,              0.8798,             0.93189,             0.63398,            0.028804,            0.016042,          0.00039497,              0.0034,              0.0034,              0.0034
                 122,             0.03604,            0.034927,           0.0022067,             0.90584,             0.88107,             0.93241,             0.63502,            0.028722,            0.015995,          0.00039133,            0.003345,            0.003345,            0.003345
                 123,            0.035841,            0.034182,           0.0021734,             0.90692,             0.88159,             0.93302,              0.6365,            0.028639,            0.015959,          0.00038987,             0.00329,             0.00329,             0.00329
                 124,            0.036129,            0.034283,           0.0022732,              0.9088,             0.87894,             0.93339,             0.63566,            0.028648,            0.015946,          0.00038843,            0.003235,            0.003235,            0.003235
                 125,            0.035891,            0.034147,           0.0022605,             0.90845,             0.87998,             0.93378,             0.63709,            0.028566,            0.015905,          0.00038703,             0.00318,             0.00318,             0.00318
                 126,            0.035826,            0.034095,           0.0023799,             0.91161,             0.87986,             0.93418,             0.63773,            0.028539,            0.015862,          0.00038552,            0.003125,            0.003125,            0.003125
                 127,            0.036006,            0.033785,           0.0021411,             0.91205,                0.88,             0.93439,             0.63792,             0.02854,            0.015861,          0.00038331,             0.00307,             0.00307,             0.00307
                 128,             0.03571,            0.034425,           0.0022065,             0.91081,              0.8818,             0.93504,             0.63959,            0.028484,             0.01584,          0.00038267,            0.003015,            0.003015,            0.003015
                 129,            0.035965,            0.034175,           0.0022184,             0.91172,             0.88424,             0.93574,             0.64007,            0.028461,            0.015814,          0.00038211,             0.00296,             0.00296,             0.00296
                 130,            0.035383,            0.034016,           0.0019978,             0.91167,             0.88479,             0.93618,             0.64117,             0.02842,            0.015782,          0.00038014,            0.002905,            0.002905,            0.002905
                 131,            0.035278,            0.033804,           0.0020336,             0.91079,             0.88379,             0.93621,             0.64134,            0.028391,            0.015762,          0.00037962,             0.00285,             0.00285,             0.00285
                 132,            0.035272,            0.033933,           0.0020843,             0.91308,             0.88295,             0.93626,             0.64304,             0.02833,            0.015741,          0.00037947,            0.002795,            0.002795,            0.002795
                 133,            0.035476,            0.033441,           0.0021697,             0.91314,             0.88395,             0.93667,             0.64404,            0.028266,              0.0157,          0.00037871,             0.00274,             0.00274,             0.00274
                 134,            0.035224,            0.033822,           0.0020962,             0.91299,             0.88397,             0.93714,             0.64437,            0.028238,            0.015682,          0.00037563,            0.002685,            0.002685,            0.002685
                 135,            0.035568,            0.033417,           0.0021302,             0.91164,             0.88582,             0.93764,             0.64532,            0.028208,            0.015663,            0.000373,             0.00263,             0.00263,             0.00263
                 136,            0.035245,            0.033153,           0.0021003,             0.91279,             0.88454,             0.93774,             0.64604,             0.02819,            0.015655,          0.00037338,            0.002575,            0.002575,            0.002575
                 137,             0.03508,            0.033421,           0.0020697,             0.91199,             0.88561,             0.93767,             0.64643,             0.02816,            0.015622,          0.00037237,             0.00252,             0.00252,             0.00252
                 138,            0.035179,            0.033577,            0.002025,             0.91084,             0.88708,             0.93769,             0.64628,            0.028128,              0.0156,          0.00037209,            0.002465,            0.002465,            0.002465
                 139,            0.034948,            0.033622,           0.0020169,             0.91187,             0.88592,             0.93811,             0.64732,            0.028078,             0.01557,          0.00037057,             0.00241,             0.00241,             0.00241
                 140,            0.034616,            0.033554,           0.0019135,             0.91081,             0.88691,             0.93765,              0.6481,            0.028047,            0.015552,          0.00036697,            0.002355,            0.002355,            0.002355
                 141,            0.034769,            0.033619,           0.0020659,             0.90962,             0.88891,             0.93804,             0.64825,            0.028022,            0.015538,          0.00036574,              0.0023,              0.0023,              0.0023
                 142,            0.034653,            0.032655,           0.0020177,             0.90963,             0.88866,             0.93823,              0.6497,            0.027973,            0.015506,          0.00036436,            0.002245,            0.002245,            0.002245
                 143,            0.034856,            0.033132,           0.0019443,             0.90783,             0.88971,             0.93834,              0.6505,            0.027928,             0.01549,           0.0003627,             0.00219,             0.00219,             0.00219
                 144,            0.034585,            0.033425,           0.0019805,             0.90746,             0.88953,             0.93842,             0.65116,            0.027888,            0.015466,          0.00036188,            0.002135,            0.002135,            0.002135
                 145,            0.034284,             0.03262,            0.001966,             0.90805,             0.88838,             0.93854,             0.65167,            0.027873,            0.015453,          0.00036054,             0.00208,             0.00208,             0.00208
                 146,            0.034609,             0.03229,           0.0019632,             0.90994,             0.88821,             0.93853,             0.65236,             0.02783,            0.015423,           0.0003588,            0.002025,            0.002025,            0.002025
                 147,            0.034452,            0.033255,           0.0019482,             0.91096,             0.88832,              0.9387,             0.65228,            0.027808,            0.015405,          0.00035762,             0.00197,             0.00197,             0.00197
                 148,              0.0344,            0.032442,            0.001891,             0.91119,             0.88846,             0.93896,             0.65338,            0.027767,            0.015384,          0.00035602,            0.001915,            0.001915,            0.001915
                 149,            0.034229,            0.032614,           0.0018442,             0.91028,             0.88985,               0.939,             0.65378,            0.027755,             0.01537,          0.00035543,             0.00186,             0.00186,             0.00186
                 150,            0.034277,            0.032448,           0.0019162,             0.91076,             0.88962,             0.93934,              0.6537,            0.027728,            0.015355,          0.00035438,            0.001805,            0.001805,            0.001805
                 151,            0.034221,              0.0325,           0.0019891,             0.91225,             0.88965,              0.9394,             0.65429,            0.027695,            0.015334,          0.00035345,             0.00175,             0.00175,             0.00175
                 152,            0.034135,            0.032438,           0.0018861,             0.91124,             0.88963,             0.93943,             0.65455,            0.027656,            0.015314,          0.00035206,            0.001695,            0.001695,            0.001695
                 153,            0.033889,             0.03293,           0.0018078,             0.91275,             0.88923,             0.93975,             0.65497,            0.027644,            0.015303,          0.00035065,             0.00164,             0.00164,             0.00164
                 154,            0.033823,             0.03164,           0.0018496,             0.91252,             0.88944,              0.9399,             0.65545,            0.027616,            0.015285,          0.00034928,            0.001585,            0.001585,            0.001585
                 155,            0.033875,            0.032017,           0.0019242,              0.9123,             0.89014,             0.94036,             0.65552,            0.027603,            0.015276,          0.00034846,             0.00153,             0.00153,             0.00153
                 156,            0.033622,            0.032542,           0.0018328,             0.91268,             0.89047,             0.94015,             0.65662,             0.02757,             0.01526,          0.00034743,            0.001475,            0.001475,            0.001475
                 157,            0.033443,            0.031836,           0.0016961,             0.91216,             0.88987,             0.93991,             0.65658,             0.02756,            0.015252,          0.00034625,             0.00142,             0.00142,             0.00142
                 158,            0.033629,            0.032044,           0.0018319,             0.91228,             0.89087,             0.94001,             0.65717,            0.027519,            0.015229,          0.00034503,            0.001365,            0.001365,            0.001365
                 159,            0.033732,            0.032238,           0.0018656,             0.91296,             0.89059,             0.94044,             0.65744,            0.027501,             0.01522,          0.00034403,             0.00131,             0.00131,             0.00131
                 160,            0.033228,            0.031738,           0.0017228,             0.91317,             0.89053,             0.94058,             0.65811,            0.027479,            0.015208,          0.00034322,            0.001255,            0.001255,            0.001255
                 161,            0.033396,               0.032,           0.0017052,              0.9142,             0.89023,             0.94074,             0.65834,             0.02745,            0.015194,          0.00034267,              0.0012,              0.0012,              0.0012
                 162,            0.033217,            0.031372,            0.001747,             0.91508,             0.88932,             0.94085,               0.659,            0.027441,            0.015187,          0.00034206,            0.001145,            0.001145,            0.001145
                 163,            0.033637,            0.031888,           0.0018227,             0.91458,              0.8889,             0.94103,             0.65898,            0.027422,            0.015176,          0.00034137,             0.00109,             0.00109,             0.00109
                 164,            0.033057,            0.032059,            0.001763,             0.91528,             0.88937,               0.941,             0.65918,              0.0274,            0.015166,          0.00034075,            0.001035,            0.001035,            0.001035
                 165,            0.033242,            0.032214,           0.0017201,               0.916,              0.8895,             0.94112,              0.6592,            0.027387,            0.015155,          0.00034009,             0.00098,             0.00098,             0.00098
                 166,             0.03295,            0.031593,           0.0016871,             0.91473,              0.8905,             0.94127,             0.65945,            0.027372,             0.01515,           0.0003394,            0.000925,            0.000925,            0.000925
                 167,            0.033162,            0.031435,           0.0017407,              0.9148,             0.89055,             0.94114,             0.66007,            0.027359,            0.015143,          0.00033872,             0.00087,             0.00087,             0.00087
                 168,            0.032842,            0.031784,           0.0015602,             0.91508,             0.89092,             0.94141,             0.66014,            0.027347,            0.015132,          0.00033801,            0.000815,            0.000815,            0.000815
                 169,             0.03299,              0.0315,           0.0016649,             0.91572,             0.89057,             0.94149,             0.66043,            0.027331,            0.015123,          0.00033733,             0.00076,             0.00076,             0.00076
                 170,            0.032461,            0.031777,            0.001638,             0.91608,             0.89055,              0.9416,             0.66065,             0.02732,            0.015117,          0.00033649,            0.000705,            0.000705,            0.000705
                 171,            0.032376,            0.031523,           0.0016194,             0.91645,             0.89095,             0.94164,             0.66081,            0.027314,            0.015111,          0.00033574,             0.00065,             0.00065,             0.00065
                 172,            0.032659,            0.031703,           0.0015542,             0.91708,              0.8905,             0.94158,             0.66114,            0.027298,            0.015103,          0.00033508,            0.000595,            0.000595,            0.000595
                 173,            0.032621,            0.031497,           0.0015962,             0.91663,              0.8913,             0.94143,             0.66122,            0.027288,            0.015097,          0.00033439,             0.00054,             0.00054,             0.00054
                 174,            0.032423,            0.031186,           0.0016401,             0.91739,             0.89047,             0.94137,             0.66144,            0.027286,            0.015093,          0.00033367,            0.000485,            0.000485,            0.000485
                 175,            0.032293,            0.030977,           0.0015587,             0.91665,             0.89164,             0.94143,             0.66125,            0.027277,            0.015088,          0.00033307,             0.00043,             0.00043,             0.00043
                 176,            0.032595,            0.031073,           0.0015904,             0.91718,             0.88993,             0.94147,             0.66127,            0.027266,            0.015084,          0.00033245,            0.000375,            0.000375,            0.000375
                 177,            0.032706,            0.031348,           0.0015802,             0.91773,             0.88996,              0.9414,             0.66173,            0.027243,            0.015074,          0.00033179,             0.00032,             0.00032,             0.00032
                 178,            0.032246,            0.030984,           0.0016076,             0.91892,             0.88948,             0.94152,             0.66229,            0.027219,            0.015068,          0.00033097,            0.000265,            0.000265,            0.000265
                 179,            0.031938,            0.030665,           0.0016242,             0.91908,             0.88979,             0.94154,             0.66248,              0.0272,            0.015061,          0.00033021,             0.00021,             0.00021,             0.00021
